target,Original-1-thread,ABC-1-thread,Original-12-threads,ABC-12-threads
Obsequi,1.0142468900012318,22.008723489008844,0.38524920100462623,21.64713950298028
clamscan,14.720233582018409,359.97657727100886,5.394257476000348,346.9168421009963
sqlite3,11.249452387011843,-1,10.845254490006482,-1
aha,0.3272069460072089,2.4870151439972688,0.3004988709872123,2.488059557013912
kc,8.717912743974011,724.6338443380082,3.217021502990974,710.2200922759948
burg,1.2191596199991181,26.961042300012195,0.47588954301318154,25.851580933027435
treecc,1.6762717149977107,58.60361553999246,0.5288015310070477,57.05866349200369
sgefa,0.584690221992787,7.634518450999167,0.40372189902700484,6.974483686994063
SIBsim4,1.1805867340008263,28.626323120988673,0.8043999829969835,28.090732092998223
SPASS,9.692369652999332,359.3679964400071,1.8421295640000608,348.9854314959957
ldecod,5.134084944991628,214.35394922900014,1.596375668013934,211.45128086200566
hbd,1.2688863259973004,38.51955061600893,0.4360581729852129,36.62366740699508
lambda,0.7078037360042799,32.84299693099456,0.5388964469893835,32.911611097020796
siod,1.753136578015983,51.33511200299836,1.027943533990765,51.615356448019156
lemon,0.9984187460213434,-1,1.0010118969948962,36.58760925999377
viterbi,0.38503601698903367,3.07642808300443,0.2918161640118342,2.9566661690187175
make_dparser,2.2057571509794798,87.7731724390178,0.7287626029865351,84.5209924550145
oggenc,3.7992360630014446,130.89692662400194,3.7798138250072952,129.74541148697608
lua,2.8159967100073118,83.99986512601026,0.7221098819863982,80.33917141499114
spiff,0.8570380469900556,14.794602606998524,0.3678493160114158,14.00026906200219
hexxagon,0.7961389039992355,12.742035105009563,0.43851916800485924,12.612497844995232
lencod,11.768902595009422,485.30341412400594,2.919802120013628,470.0781749630114
