target,Original-1-thread,ABC-1-thread,Original-12-threads,ABC-12-threads
viterbi,0.38521275398670696,3.1179071360093076,0.31480335898231715,2.957544594013598
Obsequi,1.0143484589934815,23.594101579976268,0.37517504900461063,21.247076138010016
hbd,1.2703864929790143,37.04698797300807,0.45672889598063193,37.40538115601521
spiff,0.8576923220243771,14.578181117016356,0.3510904790018685,13.77548633000697
lencod,11.864060328021878,486.4450933589833,2.8312878019933123,471.3199325570022
sqlite3,11.334654892998515,486.4450933589833,11.007255560019985,278.81025777498144
hexxagon,0.7952906819991767,13.374299132003216,0.46397229700232856,12.63059244598844
aha,0.3255109590245411,2.5311832779843826,0.3010789300024044,2.5402698119869456
treecc,1.6742033059999812,56.89525537798181,0.5402476529998239,56.82545490100165
lambda,0.6978909799945541,31.72483520800597,0.5296606780029833,32.27821398002561
siod,1.7309355910110753,51.94966673399904,1.0096879299962893,51.12235264899209
make_dparser,2.205334516009316,51.94966673399904,0.7950301780074369,84.39425832999405
ldecod,5.115533643984236,212.90962579101324,1.6075157159939408,209.93993484700331
lua,2.8444690109754447,84.67757505600457,0.7307992120040581,80.77851227298379
oggenc,3.8829570220259484,84.67757505600457,3.762419303006027,134.22003742097877
lemon,1.0000561990018468,36.11752262999653,0.9778484459966421,35.75892417799332
sgefa,0.5567556390014943,7.328039276995696,0.36635943900910206,7.422481041983701
clamscan,14.562937965005403,359.07652905301074,5.321984720998444,340.61363510100637
kc,8.80055452202214,730.3414522999956,3.095472579007037,725.1131570519938
SPASS,9.614506275975145,360.5278749439749,1.8506984999985434,347.1875866909977
SIBsim4,1.119629802997224,360.5278749439749,0.7979220220004208,347.1875866909977
burg,1.2188742809812538,26.905940837983508,0.44095222098985687,26.28501315502217
