target,Original-1-thread,ABC-1-thread,Original-12-threads,ABC-12-threads
Obsequi,1.0960963290126529,23.636143199022627,0.3917164459999185,21.571312507003313
clamscan,14.737718140997458,361.546998573991,5.46810178598389,345.7736964299984
sqlite3,11.248225032992195,291.6863917580049,10.842391704005422,-1
aha,0.32706889300607145,2.536160629009828,0.3213364969997201,2.5060540059930645
kc,8.715064992022235,732.9715670690057,3.13857243701932,719.6710424330086
burg,1.2310605289821979,26.63490653599729,0.4705276679887902,25.870462041988503
treecc,1.6752782109833788,58.61522383900592,0.5429002059972845,57.356189990998246
sgefa,0.5566244490037207,7.483733382978244,0.3863306750135962,7.056171559001086
SIBsim4,1.1206242769840173,-1,0.8183663290110417,29.571340088994475
SPASS,9.649198200990213,360.0919832770014,1.929361580987461,348.45459111299715
ldecod,5.211207274987828,216.44770652102306,1.55468077401747,209.62550162198022
hbd,1.2692529099876992,37.51303723800811,0.4319717549951747,36.65242190301069
lambda,0.6982877690170426,32.977656224014936,0.5437025149876717,33.21712294901954
siod,1.729696933995001,50.92440302899922,1.0177881859999616,49.302940830995794
lemon,1.0225503320107237,35.87798313901294,0.9751818829972763,31.987932660995284
viterbi,0.3837540450040251,3.1987114479998127,0.2846605500089936,3.1220050679985434
make_dparser,2.2061643560009543,86.81896806301665,0.7781583690084517,83.68778569498681
oggenc,3.7900248799996916,131.5070496900007,3.823315399000421,129.8094326800201
lua,2.834671980002895,84.09110548198805,0.7253663339943159,81.59912102701492
spiff,0.8574859010113869,14.526694735017372,0.3656760109879542,13.826719528995454
hexxagon,0.7943060460092966,13.468826488999184,0.4510262290132232,12.76234526297776
lencod,11.735597668011906,483.7367295019794,2.758000518020708,470.33970968500944
